"id","name","status","category","productType","img","SEO_title","SEO_desc","SEO_keyword","spec1","spec1Value","spec2","spec2Value","spec3","spec3Value","sku","cost","sale_price","compare_price","benefit","shipment_type","length","width","height","weight","weightUnit","stockPolicy","stock","save_stock","barcode"
705,"蘇格蘭 木製書桌","上架","","商品  ","https://d3jnmi1tfjgtti.cloudfront.net/file/122538856/DALL·E2024-11-0413.05.58-AclassicScotlandwoodendeskwithatimelessandelegantdesign.Thedeskfeaturesasturdywoodconstructionwitharich,naturalfinishthathig.webp","蘇格蘭 木製書桌","探索我們的蘇格蘭木製書桌，提供多種顏色和尺寸選擇，完美符合您的需求。","","顏色","淺木色","尺寸","100cm","","","",0,1800,0,0,"依重量計算",0,0,0,"1","KG","追蹤",0,"0",""
705,"蘇格蘭 木製書桌","","","","","","","","","淺木色","","120cm","","","",0,1600,0,0,"依重量計算",0,0,0,"1","KG","追蹤",0,"0",""
705,"蘇格蘭 木製書桌","","","","","","","","","淺木色","","140cm","","","",0,1400,0,0,"依重量計算",0,0,0,"1","KG","追蹤",0,"0",""
705,"蘇格蘭 木製書桌","","","","","","","","","胡桃木色","","100cm","","","",0,1800,0,0,"依重量計算",0,0,0,"1","KG","追蹤",0,"0",""
705,"蘇格蘭 木製書桌","","","","","","","","","胡桃木色","","120cm","","","",0,1600,0,0,"依重量計算",0,0,0,"1","KG","追蹤",0,"0",""
705,"蘇格蘭 木製書桌","","","","","","","","","胡桃木色","","140cm","","","",0,1400,0,0,"依重量計算",0,0,0,"1","KG","追蹤",0,"0",""
705,"蘇格蘭 木製書桌","","","","","","","","","黑色","","100cm","","","",0,1800,0,0,"依重量計算",0,0,0,"1","KG","追蹤",0,"0",""
705,"蘇格蘭 木製書桌","","","","","","","","","黑色","","120cm","","","",0,1600,0,0,"依重量計算",0,0,0,"1","KG","追蹤",0,"0",""
705,"蘇格蘭 木製書桌","","","","","","","","","黑色","","140cm","","","",0,1400,0,0,"依重量計算",0,0,0,"1","KG","追蹤",0,"0",""
704,"摩納哥 真皮沙發","上架","","商品  ","https://d3jnmi1tfjgtti.cloudfront.net/file/122538856/DALL·E2024-11-0413.02.04-AluxuriousMonacoleathersofawithasleek,contemporarydesign.Thesofafeatureshigh-qualityleatherupholsteryinarich,deepcolor,withsmo.webp","摩納哥 真皮沙發 - 高品質沙發選擇","探索摩納哥真皮沙發，提供多種顏色與尺寸選擇，為您的家居增添風格與舒適。","","顏色","黑色","尺寸","S","","","",0,3500,0,0,"依重量計算",0,0,0,"1","KG","追蹤",0,"0",""
